ApplicantName,Age,Gender,MaritalStatus,Education,EmploymentType,SelfEmployed,AnnualIncome,MonthlyIncome,ExistingEMI,CreditCardUsage,NumberExistingLoans,LoanAmount,LoanPurpose,LoanTenure,CIBILScore,BankBalance,PropertyOwnership,Dependents,DebtToIncomeRatio,CreditUtilizationRatio,SavingsAmount,PreviousLoanDefaults,LoanStatus
Rahul Verma,41,Female,Single,Post Graduate,Salaried,0,208000.0,17333.33,789.56,0.26,2,545000.0,Personal Loan,360,602,348712.76,Mortgaged,3,0.13,0.26,348712.76,0,1
Neha Gupta,44,Female,Divorced,Graduate,Business,1,323000.0,26916.67,8169.79,0.68,2,920000.0,Home Loan,36,730,646616.23,Mortgaged,0,1.25,0.68,646616.23,0,1
Amit Kumar,44,Male,Divorced,Doctorate,Business,1,212000.0,17666.67,7174.76,0.55,1,1268000.0,Education Loan,180,724,410017.01,Rented,0,0.8,0.55,410017.01,0,1
Amit Kumar,57,Male,Divorced,Post Graduate,Freelancer,1,180000.0,15000.0,5168.53,0.88,4,342000.0,Car Loan,240,701,432644.15,Owned,4,0.44,0.88,432644.15,0,1
Sneha Nair,31,Male,Divorced,Post Graduate,Business,1,294000.0,24500.0,72.42,0.94,2,494000.0,Education Loan,12,686,573786.68,Mortgaged,0,1.68,0.94,573786.68,0,1
Meera Pillai,39,Male,Single,Graduate,Freelancer,1,256000.0,21333.33,3414.29,0.17,2,645000.0,Business Loan,48,682,168751.6,Rented,3,0.79,0.17,168751.6,0,0
Siddharth Rao,58,Male,Divorced,Graduate,Business,1,2200000.0,183333.33,65414.59,0.21,1,11091000.0,Medical Emergency,24,766,3362820.75,Rented,0,2.88,0.21,3362820.75,1,0
Manish Tiwari,37,Female,Single,Graduate,Business,1,906000.0,75500.0,11820.93,0.79,3,2529000.0,Home Loan,48,649,1716352.47,Mortgaged,0,0.85,0.79,1716352.47,0,0
Siddharth Rao,28,Male,Married,Graduate,Business,1,394000.0,32833.33,7977.46,0.18,2,1286000.0,Personal Loan,36,782,87171.54,Mortgaged,2,1.33,0.18,87171.54,0,1
Karan Malhotra,25,Male,Single,Doctorate,Business,1,1794000.0,149500.0,52902.93,0.18,1,4214000.0,Car Loan,12,697,2539525.0,Rented,4,2.7,0.18,2539525.0,0,1
Deepak Choudhury,42,Female,Divorced,Post Graduate,Self-Employed,1,783000.0,65250.0,14121.09,0.23,0,2094000.0,Business Loan,48,779,1132846.17,Mortgaged,4,0.88,0.23,1132846.17,0,1
Kavya Reddy,36,Male,Married,Doctorate,Business,1,322000.0,26833.33,8268.21,0.57,4,360000.0,Car Loan,180,771,314478.84,Owned,1,0.38,0.57,314478.84,0,1
Tanvi Bhatia,60,Male,Married,Post Graduate,Business,1,684000.0,57000.0,15806.07,0.94,1,2006000.0,Personal Loan,240,726,142070.99,Owned,4,0.42,0.94,142070.99,0,1
Pooja Deshmukh,29,Male,Divorced,Graduate,Salaried,0,628000.0,52333.33,17417.15,0.27,1,2459000.0,Personal Loan,60,720,83498.82,Mortgaged,0,1.12,0.27,83498.82,0,0
Sneha Nair,54,Female,Married,Graduate,Business,1,401000.0,33416.67,3142.98,0.53,1,650000.0,Business Loan,60,612,568265.17,Mortgaged,2,0.42,0.53,568265.17,0,1
Vikram Singh,28,Male,Married,Graduate,Business,1,472000.0,39333.33,3014.66,0.31,1,2285000.0,Business Loan,60,667,107334.97,Mortgaged,4,1.04,0.31,107334.97,0,0
Rahul Verma,39,Female,Divorced,High School,Business,1,180000.0,15000.0,5833.91,0.07,0,949000.0,Medical Emergency,180,699,117864.84,Rented,1,0.74,0.07,117864.84,0,0
Ananya Iyer,62,Female,Married,Graduate,Self-Employed,1,408000.0,34000.0,3042.79,0.92,0,1462000.0,Medical Emergency,12,534,79725.55,Mortgaged,1,3.67,0.92,79725.55,1,0
Riya Sen,33,Female,Divorced,Post Graduate,Salaried,0,228000.0,19000.0,2964.97,0.37,2,898000.0,Personal Loan,360,737,173760.59,Owned,2,0.29,0.37,173760.59,0,1
Siddharth Rao,49,Male,Divorced,High School,Self-Employed,1,882000.0,73500.0,5017.75,0.86,1,3628000.0,Home Loan,180,705,1190455.53,Mortgaged,4,0.34,0.86,1190455.53,0,1
Kavya Reddy,41,Female,Single,Post Graduate,Freelancer,1,347000.0,28916.67,12629.12,0.87,1,802000.0,Business Loan,36,555,206887.46,Owned,1,1.21,0.87,206887.46,1,0
Rohan Mehta,30,Male,Married,Post Graduate,Freelancer,1,505000.0,42083.33,18855.8,0.93,2,656000.0,Business Loan,36,796,435305.41,Mortgaged,3,0.88,0.93,435305.41,0,1
Ananya Iyer,44,Male,Married,Post Graduate,Salaried,0,606000.0,50500.0,17394.51,0.84,0,1683000.0,Car Loan,60,523,704905.73,Mortgaged,2,0.9,0.84,704905.73,1,0
Aditya Joshi,43,Male,Single,Graduate,Self-Employed,1,291000.0,24250.0,2016.05,0.74,0,1125000.0,Education Loan,48,820,445598.31,Owned,1,1.05,0.74,445598.31,0,1
Pooja Deshmukh,38,Male,Divorced,Doctorate,Self-Employed,1,618000.0,51500.0,11641.37,0.59,0,2729000.0,Education Loan,36,753,1325678.37,Rented,0,1.7,0.59,1325678.37,0,1
Neha Gupta,35,Male,Single,Graduate,Freelancer,1,676000.0,56333.33,19381.06,0.06,3,1341000.0,Car Loan,48,763,1272015.67,Owned,4,0.84,0.06,1272015.67,0,1
Rahul Verma,64,Male,Married,Doctorate,Business,1,264000.0,22000.0,8581.07,0.85,0,753000.0,Home Loan,180,781,482719.3,Rented,0,0.58,0.85,482719.3,0,1
Manish Tiwari,63,Male,Divorced,Graduate,Freelancer,1,685000.0,57083.33,11736.63,0.84,1,3650000.0,Personal Loan,360,636,952756.87,Mortgaged,2,0.38,0.84,952756.87,1,0
Siddharth Rao,33,Male,Single,High School,Freelancer,1,180000.0,15000.0,2686.77,0.32,2,909000.0,Car Loan,36,572,200503.66,Mortgaged,1,1.86,0.32,200503.66,1,0
Deepak Choudhury,49,Male,Married,Doctorate,Salaried,0,1134000.0,94500.0,30730.55,0.15,1,5424000.0,Medical Emergency,360,560,481650.64,Rented,4,0.48,0.15,481650.64,1,0
Aarav Sharma,41,Male,Married,Post Graduate,Freelancer,1,400000.0,33333.33,1352.69,0.34,0,1627000.0,Medical Emergency,36,697,729639.73,Owned,2,1.4,0.34,729639.73,0,1
Karan Malhotra,37,Female,Single,Doctorate,Self-Employed,1,562000.0,46833.33,7980.65,0.39,0,2656000.0,Education Loan,36,694,274872.98,Owned,3,1.75,0.39,274872.98,0,0
Priya Patel,39,Female,Married,High School,Freelancer,1,441000.0,36750.0,4775.71,0.21,2,2400000.0,Personal Loan,12,592,703017.85,Rented,1,5.57,0.21,703017.85,1,0
Riya Sen,34,Female,Divorced,Graduate,Freelancer,1,373000.0,31083.33,3327.32,0.58,1,1162000.0,Car Loan,240,709,108383.28,Mortgaged,1,0.26,0.58,108383.28,1,0
Meera Pillai,36,Female,Divorced,Post Graduate,Salaried,0,775000.0,64583.33,5371.91,0.1,3,1875000.0,Personal Loan,12,650,1318113.57,Mortgaged,4,2.5,0.1,1318113.57,0,1
Rahul Verma,54,Male,Single,Doctorate,Self-Employed,1,662000.0,55166.67,4005.15,0.31,0,2737000.0,Medical Emergency,360,665,348083.73,Rented,2,0.21,0.31,348083.73,0,1
Pooja Deshmukh,48,Male,Single,High School,Business,1,360000.0,30000.0,4975.69,0.39,1,314000.0,Car Loan,360,856,92095.95,Rented,2,0.19,0.39,92095.95,0,1
Aditya Joshi,55,Female,Divorced,Doctorate,Self-Employed,1,807000.0,67250.0,21057.54,0.6,2,889000.0,Medical Emergency,360,726,1992688.17,Rented,1,0.35,0.6,1992688.17,0,1
Tanvi Bhatia,33,Female,Married,High School,Business,1,180000.0,15000.0,3546.39,0.95,0,440000.0,Personal Loan,240,577,242512.91,Mortgaged,3,0.36,0.95,242512.91,1,0
Neha Gupta,34,Male,Divorced,High School,Self-Employed,1,388000.0,32333.33,23.0,0.07,1,1529000.0,Home Loan,48,442,783354.32,Rented,3,0.99,0.07,783354.32,1,0
Amit Kumar,44,Female,Divorced,Post Graduate,Salaried,0,641000.0,53416.67,15398.86,0.67,0,1217000.0,Home Loan,60,713,526056.9,Mortgaged,1,0.67,0.67,526056.9,0,1
Aarav Sharma,58,Male,Divorced,High School,Business,1,376000.0,31333.33,5584.29,0.56,0,2174000.0,Personal Loan,48,820,335856.58,Rented,0,1.62,0.56,335856.58,0,1
Riya Sen,60,Female,Single,Post Graduate,Freelancer,1,280000.0,23333.33,1631.56,0.46,1,1472000.0,Education Loan,240,692,554840.63,Rented,4,0.33,0.46,554840.63,0,1
Priya Patel,26,Female,Divorced,High School,Salaried,0,180000.0,15000.0,1405.77,0.67,1,882000.0,Education Loan,24,614,436872.94,Rented,3,2.54,0.67,436872.94,0,0
Amit Kumar,32,Female,Divorced,Post Graduate,Freelancer,1,488000.0,40666.67,3429.03,0.16,1,2344000.0,Education Loan,120,684,880164.63,Rented,2,0.56,0.16,880164.63,0,1
Riya Sen,28,Male,Married,Doctorate,Business,1,661000.0,55083.33,5357.57,0.32,1,739000.0,Home Loan,48,740,1515044.54,Rented,3,0.38,0.32,1515044.54,0,1
Riya Sen,60,Male,Single,High School,Freelancer,1,416000.0,34666.67,11426.08,0.52,2,1982000.0,Personal Loan,24,532,862423.1,Mortgaged,1,2.71,0.52,862423.1,1,0
Vikram Singh,60,Male,Divorced,Graduate,Freelancer,1,448000.0,37333.33,6511.48,0.83,1,509000.0,Education Loan,12,700,783518.67,Mortgaged,0,1.31,0.83,783518.67,0,1
Amit Kumar,37,Female,Single,Graduate,Business,1,297000.0,24750.0,250.37,0.73,0,1192000.0,Personal Loan,120,626,172655.97,Rented,1,0.41,0.73,172655.97,0,1
Amit Kumar,45,Female,Divorced,Graduate,Business,1,560000.0,46666.67,3135.74,0.3,0,327000.0,Business Loan,360,807,746897.53,Owned,4,0.09,0.3,746897.53,0,1
Meera Pillai,28,Female,Married,Post Graduate,Business,1,203000.0,16916.67,4370.21,0.2,1,449000.0,Education Loan,360,822,236445.13,Owned,0,0.33,0.2,236445.13,1,1
Priya Patel,58,Male,Married,Graduate,Salaried,0,378000.0,31500.0,6045.15,0.21,2,1428000.0,Business Loan,240,514,596921.27,Rented,0,0.38,0.21,596921.27,1,0
Rohan Mehta,25,Male,Married,Post Graduate,Salaried,0,180000.0,15000.0,5486.74,0.88,0,554000.0,Car Loan,60,678,313694.49,Mortgaged,0,0.98,0.88,313694.49,0,1
Riya Sen,58,Male,Single,Post Graduate,Business,1,180000.0,15000.0,6161.82,0.4,2,783000.0,Medical Emergency,120,696,358752.4,Rented,1,0.85,0.4,358752.4,0,1
Aarav Sharma,34,Male,Married,Graduate,Business,1,180000.0,15000.0,3230.9,0.81,0,369000.0,Education Loan,36,818,237434.26,Rented,4,0.9,0.81,237434.26,0,1
Ananya Iyer,28,Female,Divorced,Graduate,Business,1,579000.0,48250.0,11567.24,0.41,0,1606000.0,Business Loan,48,713,819329.95,Rented,0,0.93,0.41,819329.95,0,1
Amit Kumar,36,Male,Divorced,Doctorate,Freelancer,1,435000.0,36250.0,9252.63,0.36,2,1878000.0,Personal Loan,24,885,815399.19,Mortgaged,3,2.41,0.36,815399.19,0,1
Riya Sen,31,Male,Divorced,Doctorate,Business,1,725000.0,60416.67,15091.45,0.79,0,1065000.0,Car Loan,24,672,1113470.98,Mortgaged,1,0.98,0.79,1113470.98,0,1
Siddharth Rao,46,Female,Married,Graduate,Salaried,0,270000.0,22500.0,2203.32,0.18,1,997000.0,Medical Emergency,12,798,517586.36,Mortgaged,1,3.79,0.18,517586.36,0,1
Meera Pillai,54,Female,Married,Doctorate,Self-Employed,1,301000.0,25083.33,2321.41,0.84,2,647000.0,Medical Emergency,60,723,693625.57,Rented,0,0.52,0.84,693625.57,0,1
Pooja Deshmukh,63,Male,Divorced,Graduate,Freelancer,1,249000.0,20750.0,7914.81,0.82,2,210000.0,Business Loan,12,722,25403.96,Mortgaged,0,1.22,0.82,25403.96,0,0
Pooja Deshmukh,57,Male,Married,Graduate,Self-Employed,1,209000.0,17416.67,3383.57,0.58,1,823000.0,Medical Emergency,180,734,224565.98,Rented,2,0.46,0.58,224565.98,0,1
Neha Gupta,42,Female,Single,Post Graduate,Freelancer,1,340000.0,28333.33,10752.43,0.37,2,950000.0,Education Loan,36,674,143570.4,Owned,0,1.31,0.37,143570.4,0,0
Vikram Singh,47,Female,Divorced,Doctorate,Self-Employed,1,441000.0,36750.0,1400.12,0.63,1,1229000.0,Car Loan,180,735,703746.19,Rented,2,0.22,0.63,703746.19,0,1
Meera Pillai,40,Female,Married,High School,Self-Employed,1,421000.0,35083.33,2933.18,0.59,0,1549000.0,Medical Emergency,48,619,761636.15,Rented,0,1.0,0.59,761636.15,0,0
Meera Pillai,38,Female,Single,Graduate,Freelancer,1,180000.0,15000.0,4757.96,0.15,4,567000.0,Medical Emergency,24,824,79381.79,Mortgaged,2,1.89,0.15,79381.79,0,1
Aditya Joshi,31,Female,Divorced,Graduate,Salaried,0,273000.0,22750.0,2510.56,0.62,1,1133000.0,Medical Emergency,24,747,475505.3,Mortgaged,4,2.19,0.62,475505.3,0,1
Sneha Nair,61,Male,Married,Graduate,Freelancer,1,471000.0,39250.0,8019.39,0.87,1,1722000.0,Education Loan,180,732,446034.6,Rented,2,0.45,0.87,446034.6,0,1
Priya Patel,32,Female,Divorced,High School,Salaried,0,273000.0,22750.0,6442.46,0.57,2,997000.0,Medical Emergency,60,766,557288.51,Mortgaged,4,1.01,0.57,557288.51,1,0
Riya Sen,41,Male,Single,Graduate,Business,1,658000.0,54833.33,6219.36,0.6,2,1325000.0,Education Loan,12,728,1236664.94,Mortgaged,0,2.13,0.6,1236664.94,0,1
Manish Tiwari,39,Male,Divorced,Doctorate,Business,1,342000.0,28500.0,10360.56,0.29,1,1489000.0,Car Loan,36,687,690324.54,Owned,1,1.81,0.29,690324.54,0,1
Rahul Verma,35,Male,Divorced,Post Graduate,Freelancer,1,414000.0,34500.0,11686.62,0.42,0,1079000.0,Medical Emergency,240,773,762752.7,Owned,2,0.47,0.42,762752.7,0,1
Pooja Deshmukh,60,Male,Divorced,High School,Salaried,0,299000.0,24916.67,588.92,0.47,2,933000.0,Car Loan,360,789,197575.36,Mortgaged,4,0.13,0.47,197575.36,0,1
Riya Sen,43,Female,Single,Doctorate,Salaried,0,400000.0,33333.33,4331.88,0.77,1,1040000.0,Education Loan,360,739,695561.26,Owned,4,0.22,0.77,695561.26,0,1
Meera Pillai,26,Female,Married,High School,Business,1,285000.0,23750.0,2889.11,0.77,1,543000.0,Business Loan,180,587,343898.28,Mortgaged,2,0.25,0.77,343898.28,0,1
Manish Tiwari,42,Male,Divorced,High School,Self-Employed,1,665000.0,55416.67,7812.17,0.06,2,364000.0,Home Loan,12,576,722853.03,Mortgaged,1,0.69,0.06,722853.03,0,0
Kavya Reddy,50,Female,Married,Post Graduate,Salaried,0,906000.0,75500.0,805.22,0.13,1,5130000.0,Medical Emergency,48,591,2157343.19,Mortgaged,2,1.43,0.13,2157343.19,0,0
Ananya Iyer,56,Male,Divorced,Post Graduate,Freelancer,1,1062000.0,88500.0,26140.92,0.86,1,3837000.0,Personal Loan,24,525,1879281.98,Rented,1,2.1,0.86,1879281.98,0,0
Rahul Verma,30,Female,Married,Doctorate,Business,1,180000.0,15000.0,1737.02,0.75,2,365000.0,Home Loan,180,691,185871.06,Owned,3,0.25,0.75,185871.06,0,1
Aditya Joshi,45,Male,Married,Graduate,Freelancer,1,491000.0,40916.67,18033.61,0.23,2,1306000.0,Medical Emergency,240,584,176874.46,Mortgaged,0,0.57,0.23,176874.46,0,0
Rohan Mehta,61,Male,Married,High School,Salaried,0,215000.0,17916.67,281.07,0.11,0,968000.0,Car Loan,12,663,484100.39,Owned,2,4.52,0.11,484100.39,0,1
Aarav Sharma,26,Male,Divorced,Doctorate,Business,1,508000.0,42333.33,2888.12,0.35,2,1347000.0,Home Loan,360,724,913512.81,Rented,2,0.16,0.35,913512.81,0,1
Siddharth Rao,61,Male,Divorced,Post Graduate,Salaried,0,316000.0,26333.33,4555.42,0.67,2,1513000.0,Home Loan,360,580,740736.0,Rented,0,0.33,0.67,740736.0,0,1
Sneha Nair,32,Female,Single,Graduate,Business,1,289000.0,24083.33,5794.01,0.91,1,272000.0,Car Loan,60,848,478208.93,Owned,1,0.43,0.91,478208.93,0,1
Siddharth Rao,35,Male,Married,Doctorate,Salaried,0,180000.0,15000.0,4256.67,0.37,1,174000.0,Medical Emergency,240,692,335660.05,Owned,2,0.33,0.37,335660.05,1,0
Aarav Sharma,55,Male,Married,Doctorate,Salaried,0,427000.0,35583.33,12693.73,0.63,0,1387000.0,Car Loan,12,720,80661.34,Owned,2,3.6,0.63,80661.34,0,0
Priya Patel,49,Female,Single,Post Graduate,Freelancer,1,497000.0,41416.67,17520.92,0.83,1,1715000.0,Medical Emergency,48,798,1152820.3,Owned,0,1.29,0.83,1152820.3,0,1
Riya Sen,25,Male,Married,Graduate,Self-Employed,1,673000.0,56083.33,17698.98,0.17,0,974000.0,Home Loan,60,717,1392957.99,Owned,2,0.61,0.17,1392957.99,0,1
Neha Gupta,39,Male,Single,Graduate,Freelancer,1,243000.0,20250.0,5421.73,0.6,1,206000.0,Personal Loan,180,654,221038.5,Mortgaged,3,0.32,0.6,221038.5,0,1
Amit Kumar,64,Male,Divorced,Post Graduate,Business,1,671000.0,55916.67,21046.6,0.76,2,3156000.0,Business Loan,36,644,607395.2,Owned,2,1.94,0.76,607395.2,0,0
Divya Agarwal,36,Male,Divorced,High School,Self-Employed,1,450000.0,37500.0,7402.41,0.88,0,326000.0,Home Loan,180,689,884874.57,Owned,3,0.25,0.88,884874.57,0,1
Rahul Verma,53,Male,Single,Post Graduate,Salaried,0,180000.0,15000.0,4770.5,0.58,1,371000.0,Medical Emergency,240,716,317098.8,Owned,0,0.42,0.58,317098.8,0,1
Aditya Joshi,26,Female,Married,Post Graduate,Self-Employed,1,919000.0,76583.33,21040.66,0.08,1,1369000.0,Car Loan,24,601,1475233.91,Rented,2,1.02,0.08,1475233.91,0,0
Aarav Sharma,53,Male,Single,Graduate,Salaried,0,321000.0,26750.0,7450.26,0.83,1,1903000.0,Business Loan,48,526,389732.01,Mortgaged,1,1.76,0.83,389732.01,1,0
Aditya Joshi,50,Male,Single,Graduate,Self-Employed,1,612000.0,51000.0,15726.34,0.92,2,1903000.0,Personal Loan,36,666,1045505.5,Owned,2,1.34,0.92,1045505.5,1,0
Pooja Deshmukh,49,Female,Single,Doctorate,Business,1,371000.0,30916.67,4650.87,0.77,0,1733000.0,Home Loan,24,632,696367.19,Mortgaged,1,2.49,0.77,696367.19,0,0
Aarav Sharma,61,Female,Divorced,Graduate,Salaried,0,199000.0,16583.33,6679.53,0.7,1,748000.0,Education Loan,180,686,114823.67,Mortgaged,0,0.65,0.7,114823.67,0,0
Kavya Reddy,25,Male,Married,Post Graduate,Salaried,0,543000.0,45250.0,4828.32,0.42,0,869000.0,Personal Loan,24,564,668094.51,Rented,0,0.91,0.42,668094.51,0,0
Rohan Mehta,32,Female,Single,Doctorate,Business,1,491000.0,40916.67,2511.55,0.7,2,1952000.0,Education Loan,48,616,444914.35,Owned,1,1.06,0.7,444914.35,0,0
Priya Patel,58,Female,Single,Graduate,Freelancer,1,466000.0,38833.33,8013.67,0.2,0,1114000.0,Education Loan,36,715,929629.33,Mortgaged,4,1.0,0.2,929629.33,0,1
Neha Gupta,58,Male,Single,Doctorate,Freelancer,1,413000.0,34416.67,13353.31,0.24,2,1282000.0,Car Loan,60,614,55676.22,Rented,1,1.01,0.24,55676.22,0,0
Kavya Reddy,50,Male,Married,Doctorate,Self-Employed,1,1009000.0,84083.33,33744.34,0.58,1,1331000.0,Business Loan,12,765,1112576.32,Owned,0,1.72,0.58,1112576.32,1,0
Riya Sen,53,Male,Married,Doctorate,Freelancer,1,740000.0,61666.67,22469.63,0.68,1,769000.0,Car Loan,48,838,221570.55,Owned,1,0.62,0.68,221570.55,0,1
Divya Agarwal,49,Male,Single,High School,Business,1,1612000.0,134333.33,14451.32,0.95,0,947000.0,Medical Emergency,60,592,787182.8,Rented,2,0.23,0.95,787182.8,0,1
Manish Tiwari,41,Male,Married,Doctorate,Self-Employed,1,559000.0,46583.33,18325.4,0.41,2,2708000.0,Education Loan,240,560,1000255.01,Owned,0,0.64,0.41,1000255.01,1,0
Rahul Verma,24,Female,Divorced,High School,Salaried,0,461000.0,38416.67,5127.3,0.73,1,2000000.0,Business Loan,360,745,682533.77,Owned,0,0.28,0.73,682533.77,0,1
Rahul Verma,62,Female,Divorced,Graduate,Business,1,269000.0,22416.67,8957.48,0.15,2,675000.0,Business Loan,12,742,262912.73,Owned,1,2.91,0.15,262912.73,0,1
Rahul Verma,55,Male,Single,High School,Self-Employed,1,546000.0,45500.0,11049.0,0.63,2,2487000.0,Business Loan,48,706,1041558.55,Owned,2,1.38,0.63,1041558.55,0,1
Aditya Joshi,48,Female,Married,Graduate,Salaried,0,1134000.0,94500.0,15853.91,0.46,0,3695000.0,Home Loan,240,796,2045260.51,Mortgaged,3,0.33,0.46,2045260.51,0,1
Sneha Nair,60,Female,Divorced,High School,Salaried,0,835000.0,69583.33,5897.82,0.85,0,818000.0,Car Loan,36,726,661398.87,Owned,3,0.41,0.85,661398.87,0,1
Aditya Joshi,53,Male,Divorced,Post Graduate,Freelancer,1,291000.0,24250.0,1642.31,0.23,0,1669000.0,Home Loan,60,601,320009.2,Mortgaged,2,1.21,0.23,320009.2,0,0
Vikram Singh,23,Female,Married,Doctorate,Freelancer,1,583000.0,48583.33,16128.17,0.07,1,898000.0,Home Loan,48,558,1226558.57,Mortgaged,1,0.72,0.07,1226558.57,1,0
Divya Agarwal,38,Female,Divorced,High School,Freelancer,1,597000.0,49750.0,13283.79,0.68,2,3063000.0,Car Loan,240,722,495389.17,Owned,1,0.52,0.68,495389.17,0,0
Sneha Nair,58,Male,Married,Post Graduate,Freelancer,1,745000.0,62083.33,10390.02,0.31,1,3837000.0,Personal Loan,120,759,582975.08,Owned,1,0.68,0.31,582975.08,0,1
Neha Gupta,37,Female,Single,Post Graduate,Self-Employed,1,485000.0,40416.67,2932.82,0.16,1,2893000.0,Business Loan,36,748,561694.37,Rented,3,2.06,0.16,561694.37,0,0
Meera Pillai,53,Male,Divorced,High School,Business,1,531000.0,44250.0,2945.94,0.45,2,3114000.0,Business Loan,60,744,207926.89,Owned,2,1.24,0.45,207926.89,0,0
Riya Sen,58,Male,Married,High School,Self-Employed,1,180000.0,15000.0,28.99,0.71,2,1056000.0,Education Loan,60,496,222729.41,Rented,1,1.18,0.71,222729.41,1,0
Manish Tiwari,42,Male,Divorced,Doctorate,Business,1,585000.0,48750.0,15118.16,0.71,0,3189000.0,Personal Loan,360,800,222594.04,Owned,4,0.49,0.71,222594.04,0,1
Kavya Reddy,63,Female,Married,Graduate,Business,1,712000.0,59333.33,1469.4,0.63,0,2641000.0,Personal Loan,60,678,405638.94,Owned,2,0.77,0.63,405638.94,0,1
Karan Malhotra,34,Male,Divorced,Doctorate,Self-Employed,1,435000.0,36250.0,8000.72,0.59,1,1441000.0,Home Loan,120,666,458550.55,Mortgaged,4,0.55,0.59,458550.55,0,1
Pooja Deshmukh,25,Female,Married,Graduate,Business,1,739000.0,61583.33,9558.6,0.33,2,2181000.0,Business Loan,24,766,456456.93,Rented,0,1.63,0.33,456456.93,0,1
Divya Agarwal,24,Female,Married,Post Graduate,Freelancer,1,416000.0,34666.67,11366.25,0.42,1,2120000.0,Business Loan,24,750,185009.46,Rented,4,2.88,0.42,185009.46,0,1
Deepak Choudhury,44,Female,Single,Doctorate,Salaried,0,296000.0,24666.67,73.47,0.62,2,593000.0,Personal Loan,360,770,357890.02,Mortgaged,1,0.07,0.62,357890.02,0,1
Vikram Singh,62,Male,Single,Doctorate,Business,1,258000.0,21500.0,5358.66,0.09,1,1301000.0,Business Loan,60,610,331747.02,Mortgaged,2,1.26,0.09,331747.02,0,0
Aarav Sharma,55,Male,Single,High School,Business,1,532000.0,44333.33,19072.73,0.8,2,1649000.0,Medical Emergency,60,485,585825.77,Rented,2,1.05,0.8,585825.77,1,0
Kavya Reddy,50,Male,Single,High School,Freelancer,1,1520000.0,126666.67,56676.98,0.11,0,6993000.0,Business Loan,240,578,2215216.1,Rented,4,0.68,0.11,2215216.1,1,0
Riya Sen,43,Male,Married,Graduate,Business,1,617000.0,51416.67,3767.88,0.1,0,1393000.0,Medical Emergency,36,597,590916.4,Owned,4,0.83,0.1,590916.4,0,1
Divya Agarwal,37,Female,Single,High School,Business,1,642000.0,53500.0,12750.42,0.89,2,2135000.0,Medical Emergency,36,716,1242433.4,Mortgaged,0,1.35,0.89,1242433.4,0,1
Meera Pillai,50,Female,Married,High School,Business,1,374000.0,31166.67,9613.35,0.67,1,384000.0,Business Loan,120,718,776407.38,Owned,3,0.41,0.67,776407.38,0,1
Sneha Nair,54,Female,Married,Doctorate,Business,1,1897000.0,158083.33,65511.05,0.2,0,3222000.0,Business Loan,48,718,3975688.08,Mortgaged,2,0.84,0.2,3975688.08,0,1
Deepak Choudhury,35,Male,Married,Doctorate,Salaried,0,579000.0,48250.0,2530.93,0.17,3,345000.0,Education Loan,60,820,1018184.06,Owned,2,0.17,0.17,1018184.06,0,1
Tanvi Bhatia,30,Female,Single,High School,Salaried,0,1081000.0,90083.33,30178.55,0.16,0,1306000.0,Medical Emergency,36,633,1893169.55,Rented,1,0.74,0.16,1893169.55,0,0
Vikram Singh,33,Male,Married,Graduate,Salaried,0,539000.0,44916.67,380.12,0.49,1,1548000.0,Personal Loan,24,763,96320.66,Mortgaged,0,1.44,0.49,96320.66,0,1
Priya Patel,49,Female,Single,High School,Salaried,0,547000.0,45583.33,1358.9,0.65,1,2544000.0,Home Loan,48,675,826105.28,Owned,1,1.19,0.65,826105.28,0,1
Pooja Deshmukh,23,Male,Single,Post Graduate,Business,1,453000.0,37750.0,16117.6,0.36,1,627000.0,Business Loan,48,549,594237.31,Owned,0,0.77,0.36,594237.31,0,0
Aarav Sharma,63,Male,Divorced,Post Graduate,Business,1,430000.0,35833.33,2769.85,0.73,2,225000.0,Medical Emergency,24,611,996807.52,Mortgaged,3,0.34,0.73,996807.52,0,1
Riya Sen,36,Female,Divorced,Post Graduate,Freelancer,1,934000.0,77833.33,23590.24,0.15,3,4755000.0,Car Loan,180,691,573716.6,Owned,0,0.64,0.15,573716.6,0,1
Amit Kumar,27,Male,Married,Graduate,Self-Employed,1,200000.0,16666.67,3718.62,0.38,3,417000.0,Medical Emergency,12,661,59479.01,Rented,0,2.31,0.38,59479.01,0,0
Sneha Nair,60,Female,Divorced,High School,Freelancer,1,198000.0,16500.0,1677.11,0.42,4,1172000.0,Car Loan,48,672,426938.89,Rented,4,1.58,0.42,426938.89,0,1
Pooja Deshmukh,35,Male,Single,Doctorate,Salaried,0,425000.0,35416.67,6317.14,0.52,0,1794000.0,Home Loan,36,628,445207.69,Mortgaged,2,1.59,0.52,445207.69,0,0
Ananya Iyer,24,Male,Single,High School,Self-Employed,1,1273000.0,106083.33,16165.43,0.59,2,7573000.0,Home Loan,48,654,2687891.02,Mortgaged,2,1.64,0.59,2687891.02,0,1
Manish Tiwari,22,Female,Divorced,Doctorate,Business,1,390000.0,32500.0,6958.96,0.59,0,1063000.0,Car Loan,360,869,300041.63,Rented,3,0.3,0.59,300041.63,0,1
Aditya Joshi,54,Female,Married,Post Graduate,Self-Employed,1,520000.0,43333.33,579.61,0.71,0,2635000.0,Car Loan,12,816,1265146.54,Rented,0,5.08,0.71,1265146.54,0,1
